["教育程度", "type"]	["哪种类型是entity的毕业学校？"]
["after", "coach"]	["谁是entity的的现任经理？"]
["associatedActs", "title"]	["什么是entity的相关艺人的名字？"]
["location", "food"]	["entity的位置中食物的无生命徽章是什么？"]
["father", "placeOfBirth"]	["entity的父亲出生在哪里？"]
["headquarters", "regionalLanguages"]	["哪种语言是entity的总部地址中的区域语言？"]
["locale", "highestpoint"]	["entityEV的所属地点的最高点是什么？"]
["areas", "tree"]	["什么树大部分种植在entity？"]
["producer", "title"]	["什么是entity的制片人的名字？"]
["電視網", "iptvServ"]	["播放entity的电视台推广什么样的IPTV服务？"]
["出生地點", "p"]	["如何用汉语拼音拼写entity的出生地点？","entity的出生地点的中文拼音是什么？"]
["province", "seatType"]	["entity的行政级别是什么？"]
["province", "leaderParty"]	["什么是entity的领导方？"]
["province", "timezone"]	["entity属于哪个时区？"]
["house", "title"]	["什么是entity所属的王朝的名字？"]
["city", "timezoneDst"]	["entity的所在城市属于哪个时区？"]
["fam", "ancestor"]	["entity的的祖先在哪里？"]
["lyrics", "currentMembers"]	["谁是entity的的现任乐队领队？"]
["mother", "mother"]	["谁是entity的母亲的母亲？"]
["beforeElection", "office"]	["entity一CLPM任领导人的职务是什么？"]
["before", "governor"]	["谁是entity的前任的现任州长？"]
["music", "before"]	["谁是entity的配乐作者的上一任？"]
["starring", "candidate"]	["谁是参演entity的演员的候选人？"]
["教育程度", "chairman"]	["谁是entity的毕业学校的主席？"]
["deathPlace", "settlementType"]	["entity逝世的地方属于哪个地区？"]
["nation", "leaderTitle"]	["entity所属国家在哪里作为leaderTitle？"]
["nation", "leaderName"]	["谁是entity所属国家的领导者？"]
["birthplace", "currency"]	["entityO第一CLPM支登场的球队的货币是什么？"]
["deathplace", "leaderTitle"]	["entity逝世的地方在哪里作为leaderTitle？"]
["after", "list1."]	["谁是第一个在entity的中添加内容的人？"]
["before", "list1."]	["谁是第一个在entity的前任中添加内容的人？"]
["before", "manager"]	["谁是entity的前任的经理？"]
["before", "owner"]	["谁是entity的前任的所有者？"]
["before", "list3."]	["entity的前任为之奋斗的第三支职业球队是什么？"]
["after", "list3."]	["entity的为之奋斗的第三支职业球队是什么？"]
["nation", "establishedEvent"]	["什么时候entity所属国家创建既定事件？"]
["after", "list2."]	["谁是1904年entity的最好的右手投手？"]
["music", "title"]	["什么是entity的配乐作者的名字？"]
["主演", "influenced"]	["谁影响了entity的演员？"]
["director", "children"]	["entity的导演孩子的名字是什么？"]
["fam", "dialects"]	["entity的的方言是什么？"]
["allegiance", "as"]	["entity相当于什么？"]
["city", "north"]	["哪个城市位于entity的所在城市的北部？"]
["order", "isoCode"]	["什么是P由entity担任领导的机构的ISO代码？"]
["birthplace", "region"]	["entityO第一CLPM支登场的球队属于哪个列表？","哪个列表包含entityO第一CLPM支登场的球队？"]
["birthplace", "ethnicGroups"]	["entityO第一CLPM支登场的球队属于哪个民族？"]
["leaderName", "placeOfBirth"]	["entity的领导人出生在哪里？"]
["location", "areaCodeType"]	["entity的位置有哪些类型的区号？"]
["writer", "education"]	["entity的作者毕业的地方？","entity的作者从哪个学校毕业？"]
["educate", "mascot"]	["什么是entity的吉祥物？"]
["starring", "agency"]	["哪个机构参演entity的演员属于哪个？"]
["state", "subdivisionType"]	["entity所在的州的行政级别是什么？"]
["father", "author"]	["谁是entity的父亲的作者？"]
["state", "insect"]	["什么样的昆虫是entity所在的州特有的？"]
["president", "religion"]	["entity效力的总统的宗教是什么？"]
["writer", "relatives"]	["谁是entity的作者的亲戚？"]
["after", "candidate"]	["谁是entity的的候选人？"]
["时代", "titleLeader"]	["entity哪个时代中领导者的头衔是什么？"]
["stadium", "translitLang1Type"]	["什么是举办entity的体育场的翻译方案？"]
["president", "nationality"]	["entity效力的总统的国籍是什么？"]
["citizenship", "leaderTitle"]	["entity的公民身份在哪里作为leaderTitle？"]
["籍貫", "label"]	["entity的籍贯的标签是什么？"]
["leader", "party"]	["entity的领导人属于哪一方？"]
["children", "house"]	["entity的子女有什么样的立法机构？"]
["states", "languages"]	["谁使用使用entity的地区的区域语言？"]
["region", "postalCodeType"]	["entity所在的行政区使用什么类型的邮政编码？"]
["nation", "languages"]	["谁使用entity所属国家的区域语言？"]
["placeOfDeath", "governmentType"]	["entity的逝世地址政府类型是什么？"]
["政权", "religion"]	["entity的的宗教是什么？"]
["residence", "caption"]	["entity的居住地的标识是什么？"]
["nationality", "leader"]	["谁是entity的国籍的领导者？"]
["居住地", "upperHouse"]	["什么是entity的居住地的上议院？"]
["deathPlace", "northeast"]	["位于entity逝世的地方东北的地方是什么？"]
["writer", "nationality"]	["entity的作者的国籍是什么？"]
["籍貫", "subdivisionType"]	["entity的籍贯的行政级别是什么？"]
["region", "languages"]	["谁使用entity所在的行政区的区域语言？"]
["incumbent", "candidate"]	["谁是entity的现任的候选人？"]
["workInstitution", "before"]	["谁是entity的工作机构的上一任？"]
["children", "deputy"]	["谁是entity的子女的部长？"]
["title", "founder"]	["谁是entity的标题的创始人？","谁创立了entity的标题？"]
["leader", "placeOfDeath"]	["entity的领导人死在哪里？","这是entity的领导人的死亡地点？"]
["format", "owner"]	["谁是entity的节目形式的所有者？"]
["influenced", "region"]	["受到entity影响的人属于哪个列表？","哪个列表包含受到entity影响的人？"]
["nation", "ethnicGroups"]	["entity所属国家属于哪个民族？"]
["seat", "settlementType"]	["entity的行政中心属于哪个地区？"]
["placeOfDeath", "postalCodeType"]	["entity的逝世地址使用什么类型的邮政编码？"]
["commander", "placeOfBirth"]	["entity的将领出生在哪里？"]
["author", "subsid"]	["entity的原著作者子公司的名称是什么？"]
["genusAuthority", "almaMater"]	["entity的属PRU（生物PRU（）的命名者从哪里毕业？"]
["nation", "religion"]	["entity所属国家的宗教是什么？"]
["deathplace", "currency"]	["entity逝世的地方的货币是什么？"]
["territory", "upperHouse"]	["什么是entity覆盖的区域的上议院？"]
["country", "demonym"]	["我们称之为entity的的人是谁？"]
["combatant", "commander"]	["我们应该称之为entity的指挥官？"]
["lastAlbum", "language"]	["entity的一CLPM张专辑的语言是什么？"]
["owner", "southeast"]	["哪个城市位于entity的总裁的东南部？"]
["influenced", "deathPlace"]	["受到entity影响的人死在哪里？","受到entity影响的人的死亡地点是什么？"]
["before", "house"]	["entity的前任有什么样的立法机构？"]
["headquarters", "callingCode"]	["什么是entity的总部地址中的调用代码？"]
["cityofbirth", "title"]	["什么是entity的出生地的名字？"]
["city", "lieutenantGovernor"]	["谁是entity的所在城市现任副州长？"]
["workplaces", "nickname"]	["entity的工作地点的昵称是什么？"]
["issue", "as"]	["entity的后裔相当于什么？"]
["city", "governmentType"]	["entity的所在城市政府类型是什么？"]
["commander", "nationality"]	["entity的将领的国籍是什么？"]
["ground", "title"]	["什么是entity的地址的名字？"]
["manufacturer", "owner"]	["谁是entity的生产商的所有者？"]
["prev", "birthPlace"]	["entity的出生在哪里？"]
["combatant", "callingCode"]	["什么是entity中的调用代码？"]
["combatant", "leaderTitle"]	["entity在哪里作为leaderTitle？"]
["doctoralStudents", "influenced"]	["谁影响了entity的博士生？"]
["state", "label"]	["entity所在的州的标签是什么？"]
["city", "caption"]	["entity的所在城市的标识是什么？"]
["leader", "office"]	["entity的领导人的职务是什么？"]
["beforeElection", "alongside"]	["谁像entity一CLPM任领导人一样出名？","谁与entity一CLPM任领导人同样出名？"]
["successor", "honorificSuffix"]	["entity的一CLPM代产品的敬语后缀是什么？"]
["seat", "north"]	["哪个城市位于entity的行政中心的北部？"]
["seat", "subdivisionType"]	["entity的行政中心的行政级别是什么？"]
["所屬公司", "industry"]	["AentityEV的所属公司所属的产业类型是什么？"]
["father", "birthPlace"]	["entity的父亲出生在哪里？"]
["deathPlace", "fish"]	["什么是entity逝世的地方中的州鱼？"]
["spouse", "mother"]	["谁是entity的配偶的母亲？"]
["籍貫", "leaderName"]	["谁是entity的籍贯的领导者？"]
["primaryUser", "ethnicGroups"]	["entity的主要用户属于哪个民族？"]
["neighbor", "settlementType"]	["entity的邻近城市属于哪个地区？"]
["neighbor", "subdivisionName"]	["entity的邻近城市的细分名称是什么？"]
["演出", "label"]	["出演entity的演员的标签是什么？"]
["incumbent", "almaMater"]	["entity的现任从哪里毕业？"]
["deathPlace", "mayor"]	["谁是entity逝世的地方的市长？"]
["leaderParty", "predecessor"]	["谁是entity的的前身？"]
["parent", "type"]	["哪种类型是entity的主公司？"]
["creator", "influenced"]	["谁影响了entity的创造者？"]
["placeOfDeath", "timezone"]	["entity的逝世地址属于哪个时区？"]
["頻道", "subsid"]	["放映entity的频道子公司的名称是什么？"]
["label", "subdivisionType"]	["entity的标签的行政级别是什么？"]
["affiliation", "leaderTitle"]	["entity的隶属机构在哪里作为leaderTitle？"]
["next", "mother"]	["谁是entity的一CLPM届奖项的母亲？"]
["influences", "spouse"]	["谁是entity的人的配偶？"]
["capital", "region"]	["entity的首都属于哪个列表？","哪个列表包含entity的首都？"]
["nation", "event"]	["哪个文件","事件影响了entity所属国家的灭绝并在欧洲结束了第二次世界大战？"]
["appointer", "deputy"]	["谁是entity的任命者的部长？"]
["region", "timezoneDst"]	["entity所在的行政区属于哪个时区？"]
["birthPlace", "grass"]	["什么样的草原产于entity的出生地？"]
["parent", "services"]	["什么包含在entity的主公司的服务中？"]
["母校", "president"]	["谁是entity的母校的总裁？"]
["debutteam", "list2."]	["谁是1904年entity的O第一CLPM支球队最好的右手投手？"]
["allegiance", "officialReligion"]	["哪一项是entity第一修正案的宗教条款中规定的受宪法保护的权利？"]
["partof", "sign"]	["entity使用什么样的语言？"]
["location", "amphibian"]	["什么是IUCN脆弱的物种？青蛙？在entity的位置？"]
["countryofbirth", "event"]	["哪个文件","事件影响了entity的祖国的灭绝并在欧洲结束了第二次世界大战？"]
["cityofbirth", "northeast"]	["位于entity的出生地东北的地方是什么？"]
["city", "nickname"]	["entity的所在城市的昵称是什么？"]
["neighbors", "timezone"]	["entity的邻近区属于哪个时区？"]
["capital", "location"]	["entity的首都在哪里？"]
["locale", "governmentType"]	["entityEV的所属地点政府类型是什么？"]
["location", "leader"]	["谁是entity的位置的领导者？"]
["district", "southeast"]	["哪个城市位于entity所在的区域的东南部？"]
["influenced", "dialects"]	["受到entity影响的人的方言是什么？"]
["influenced", "influences"]	["谁影响受到entity影响的人？"]
["ethnicity", "leaderName"]	["谁是entity的领导者？"]
["代表作", "birthPlace"]	["entity的代表作品出生在哪里？"]
["deathPlace", "establishedTitle"]	["哪个法律","行为使entity逝世的地方成立？"]
["電視台", "industry"]	["播放entity的电视台所属的产业类型是什么？"]
["subdivisionName", "governor"]	["谁是entity的现任州长？"]
["usedBy", "languages"]	["谁使用entity的使用者的区域语言？"]
["usedBy", "house"]	["entity的使用者有什么样的立法机构？"]
["office", "event"]	["哪个文件","事件影响了entity担任的要职的灭绝并在欧洲结束了第二次世界大战？"]
["primeminister", "leader"]	["谁是entity的首相的领导者？"]
["league", "lcm"]	["谁是entity的新QPR英雄？"]
["league", "rcb"]	["谁是entity最强的玩家？"]
["partof", "religion"]	["entity的宗教是什么？"]
["cities", "subdivisionType"]	["entity的行政级别是什么？"]
["cityofbirth", "motto"]	["什么是entity的出生地的座右铭？"]
["director", "parents"]	["谁养育了entity的导演？","谁把entity的导演抚养长大？","谁是entity的导演的父母？"]
["music", "placeOfDeath"]	["entity的配乐作者死在哪里？","这是entity的配乐作者的死亡地点？"]
["notableCommanders", "honorificSuffix"]	["entity的著名指挥官的敬语后缀是什么？"]
["主君", "as"]	["entity效力的君主相当于什么？"]
["birthPlace", "northwest"]	["哪个地方位于entity的出生地的西北部？"]
["inaugural", "successor"]	["谁是就职entity的政客的继承人？"]
["subdivisionName", "mammal"]	["entity中濒临灭绝的哺乳动物是什么？"]
["seat", "timezone"]	["entity的行政中心属于哪个时区？"]
["capital", "settlementType"]	["entity的首都属于哪个地区？"]
["similar", "type"]	["哪种类型是P与entity相似的车型？"]
["occupation", "owner"]	["谁是entity的职业的所有者？"]
["office", "demonym"]	["我们称之为entity担任的要职的人是谁？"]
["before", "region"]	["entity的前任属于哪个列表？","哪个列表包含entity的前任？"]
["subdivisionName", "tartan"]	["什么是entity的官方苏格兰格子呢模式？"]
["主演", "placeOfBirth"]	["entity的演员出生在哪里？"]
["headquarters", "settlementType"]	["entity的总部地址属于哪个地区？"]
["state", "fish"]	["什么是entity所在的州中的州鱼？"]
["出生地", "timezoneDst"]	["entity的出生地属于哪个时区？"]
["演出", "genre"]	["出演entity的演员属于哪种类型？"]
["deputy", "office"]	["entity的代理人的职务是什么？"]
["cityofbirth", "populationBlank1Title"]	["什么是entity的出生地？"]
["managerclubs", "round"]	["什么是entity执教的俱乐部的主场？","哪一个是entity执教的俱乐部的主场？"]
["cityofbirth", "party"]	["entity的出生地属于哪一方？"]
["官方語言", "fam"]	["entity的官方语言属于哪种语言？"]
["電視台", "location"]	["播放entity的电视台在哪里？"]
["deathPlace", "currency"]	["entity逝世的地方的货币是什么？"]
["deathPlace", "capital"]	["entity逝世的地方的首都在哪里？"]
["publisher", "affiliations"]	["entity的出版商隶属于什么机构？"]
["國家首都名稱", "governingBody"]	["entity的首都的管理机构是什么？"]
["官方語言", "script"]	["什么是entity的官方语言的盲文？"]
["founder", "title"]	["什么是entity的创始人的名字？"]
["operator", "ground"]	["entity的相关运营A方是的主场在哪里？"]
["stadium", "label"]	["举办entity的体育场的标签是什么？"]
["tenants", "logo"]	["entity的承租方的标识是什么？"]
["plat", "predecessor"]	["谁是entity的发布平台的前身？"]
["主持", "spouse"]	["谁是entity的主持人的配偶？"]
["workInstitution", "chancellor"]	["谁是entity的工作机构的总理？"]
["workInstitution", "principal"]	["谁是entity的工作机构的负责人？"]
["leader", "honorificSuffix"]	["entity的领导人的敬语后缀是什么？"]
["政权", "capital"]	["entity的的首都在哪里？"]
["演出", "title"]	["什么是出演entity的演员的名字？"]
["citizenship", "officialReligion"]	["哪一项是entity的公民身份第一修正案的宗教条款中规定的受宪法保护的权利？"]
["title", "chairman"]	["谁是entity的标题的主席？"]
["出生地", "timezone"]	["entity的出生地属于哪个时区？"]
["製作", "location"]	["entity的制作方在哪里？"]
["langs", "child"]	["什么属于entity擅长的语言？"]
["states", "officialLanguages"]	["使用entity的地区的官方语言是什么？"]
["district", "timezone"]	["entity所在的区域属于哪个时区？"]
["office", "leaderTitle"]	["entity担任的要职在哪里作为leaderTitle？"]
["city", "soil"]	["entity的所在城市的州土壤是什么？"]
["title", "legislature"]	["什么是entity的标题的立法机关？"]
["plat", "manufacturer"]	["什么是entity的发布平台的制造商？","谁制作了entity的发布平台？"]
["連載雜誌", "language"]	["连载entity的杂志的语言是什么？"]
["nation", "upperHouse"]	["什么是entity所属国家的上议院？"]
["相關團體", "occupation"]	["entity的相关团体从事的职业是什么？","entity的相关团体的工作是什么？"]
["location", "fish"]	["什么是entity的位置中的州鱼？"]
["语言", "dialects"]	["entity所使用的语言的方言是什么？"]
["语言", "agency"]	["哪个机构entity所使用的语言属于哪个？"]
["政权", "currency"]	["entity的的货币是什么？"]
["city", "label"]	["entity的所在城市的标签是什么？"]
["next", "executiveProducer"]	["谁是entity的一CLPM届奖项的执行制片人？"]
["使用平台", "media"]	["什么是entity的使用平台的媒体？"]
["ground", "largestmetro"]	["entity的地址最大的地铁在哪里？"]
["ground", "grass"]	["什么样的草原产于entity的地址？"]
["ground", "upperhouse"]	["我们用什么名字来称呼entity的地址的上院？"]
["stadium", "type"]	["哪种类型是举办entity的体育场？"]
["place", "legislature"]	["什么是entity的地址的立法机关？"]
["stadium", "establishedEvent"]	["什么时候举办entity的体育场创建既定事件？"]
["教育程度", "label"]	["entity的毕业学校的标签是什么？"]
["nationality", "region"]	["entity的国籍属于哪个列表？","哪个列表包含entity的国籍？"]
["residence", "establishedEvent"]	["什么时候entity的居住地创建既定事件？"]
["president", "family"]	["谁是entity效力的总统的家人？","谁是entity效力的总统的父亲？"]
["電視台", "satServ"]	["什么是播放entity的电视台的母公司？"]
["线路", "operator"]	["哪个公司entity所属于的线路属于？"]
["usedBy", "callingCode"]	["什么是entity的使用者中的调用代码？"]
["region", "lowerHouse"]	["什么是entity所在的行政区的下议院？"]
["birthplace", "label"]	["entityO第一CLPM支登场的球队的标签是什么？"]
["starring", "origin"]	["参演entity的演员的起源是什么？"]
["headquarters", "founder"]	["谁是entity的总部地址的创始人？","谁创立了entity的总部地址？"]
["place", "ethnicGroups"]	["entity的地址属于哪个民族？"]
["電視台", "governmentType"]	["播放entity的电视台政府类型是什么？"]
["founder", "honorificPrefix"]	["entity的创始人的荣誉称号是什么？"]
["founder", "governor"]	["谁是entity的创始人的现任州长？"]
["leaderName", "honorificPrefix"]	["entity的领导人的荣誉称号是什么？"]
["seat", "timezoneDst"]	["entity的行政中心属于哪个时区？"]
["influenced", "influencedBy"]	["谁影响受到entity影响的人？"]
["birthplace", "bird"]	["哪种鸟类生物居住在entityO第一CLPM支登场的球队？"]
["secondDriver", "before"]	["谁是entity的亚军车手的上一任？"]
["residence", "tree"]	["什么树大部分种植在entity的居住地？"]
["influenced", "genre"]	["受到entity影响的人属于哪种类型？"]
["place", "upperHouse"]	["什么是entity的地址的上议院？"]
["state", "caption"]	["entity所在的州的标识是什么？"]
["subdivisionName", "governingBody"]	["entity的管理机构是什么？"]
["居住地", "label"]	["entity的居住地的标签是什么？"]
["languages", "sign"]	["entity使用的语言使用什么样的语言？"]
["title", "list3."]	["entity的标题为之奋斗的第三支职业球队是什么？"]
["influences", "label"]	["entity的人的标签是什么？"]
["所在", "timezone"]	["entity所在的城市属于哪个时区？"]
["manufacturer", "predecessor"]	["谁是entity的生产商的前身？"]
["placeOfBirth", "subdivisionType"]	["entity的出生地的行政级别是什么？"]
["followedBy", "producer"]	["谁是entity的一CLPM部作品的制片人？"]
["designer", "founder"]	["谁是entity的设计者的创始人？","谁创立了entity的设计者？"]
["designer", "industry"]	["entity的设计者所属的产业类型是什么？"]
["langs", "officialLanguages"]	["entity擅长的语言的官方语言是什么？"]
["locale", "leaderName"]	["谁是entityEV的所属地点的领导者？"]
["successor", "placeOfDeath"]	["entity的一CLPM代产品死在哪里？","这是entity的一CLPM代产品的死亡地点？"]
["電視台", "demonym"]	["我们称之为播放entity的电视台的人是谁？"]
["venue", "architect"]	["谁是entity的举办场地的建筑师？","谁建立了entity的举办场地？"]
["battles", "officialLanguages"]	["entity参加的战争的官方语言是什么？"]
["platforms", "influenced"]	["谁影响了entity的发布平台？"]
["vicepresident", "placeOfBirth"]	["entity的副总统出生在哪里？"]
["fam", "sign"]	["entity的使用什么样的语言？"]
["placeOfDeath", "settlementType"]	["entity的逝世地址属于哪个地区？"]
["途經地點", "affiliations"]	["entity的途径地点隶属于什么机构？"]
["writer", "birthPlace"]	["entity的作者出生在哪里？"]
["district", "governingBody"]	["entity所在的区域的管理机构是什么？"]
["religion", "language"]	["entity信仰的语言是什么？"]
["subdivisionName", "amphibian"]	["什么是IUCN脆弱的物种？青蛙？在entity？"]
["title", "deputy"]	["谁是entity的标题的部长？"]
["頻道", "founder"]	["谁是放映entity的频道的创始人？","谁创立了放映entity的频道？"]
["cityofbirth", "timezoneDst"]	["entity的出生地属于哪个时区？"]
["popplace", "tree"]	["什么树大部分种植在entity的主要分布区域？"]
["designer", "subsid"]	["entity的设计者子公司的名称是什么？"]
["stadium", "region"]	["举办entity的体育场属于哪个列表？","哪个列表包含举办entity的体育场？"]
["influences", "parents"]	["谁养育了entity的人？","谁把entity的人抚养长大？","谁是entity的人的父母？"]
["currentclub", "round"]	["什么是entity的主场？","哪一个是entity的主场？"]
["cityofbirth", "southeast"]	["哪个城市位于entity的出生地的东南部？"]
["owner", "chairman"]	["谁是entity的总裁的主席？"]
["associatedActs", "notableInstruments"]	["哪种乐器entity的相关艺人发挥并因此而闻名？"]
["cityofbirth", "label"]	["entity的出生地的标签是什么？"]
["birthplace", "tree"]	["什么树大部分种植在entityO第一CLPM支登场的球队？"]
["placeOfBirth", "capital"]	["entity的出生地的首都在哪里？"]
["commander", "alongside"]	["谁像entity的将领一样出名？","谁与entity的将领同样出名？"]
["similar", "predecessor"]	["谁是P与entity相似的车型的前身？"]
["leader", "primeminister"]	["谁是entity的领导人的首相？"]
["birthplace", "callingCode"]	["什么是entityO第一CLPM支登场的球队中的调用代码？"]
["頻道", "logo"]	["放映entity的频道的标识是什么？"]
["distributor", "predecessor"]	["谁是entity的发行商的前身？"]
["locale", "label"]	["entityEV的所属地点的标签是什么？"]
["country", "event"]	["哪个文件","事件影响了entity的的灭绝并在欧洲结束了第二次世界大战？"]
["cityofbirth", "settlementType"]	["entity的出生地属于哪个地区？"]
["出生地點", "soil"]	["entity的出生地点的州土壤是什么？"]
["currentclub", "industry"]	["entity所属的产业类型是什么？"]
["youthclubs", "rcb"]	["谁是entity所属青年俱乐部最强的玩家？"]
["cityofbirth", "governmentType"]	["entity的出生地政府类型是什么？"]
["fromAlbum", "label"]	["entity的一CLPM部专辑的标签是什么？"]
["managerclubs", "regionalName"]	["entity执教的俱乐部的地区名称是什么？"]
["studio", "divisions"]	["哪个唱片公司的制作entity的工作室拥有？"]
["father", "children"]	["entity的父亲孩子的名字是什么？"]
["nominee", "successor"]	["谁是entity的提名人的继承人？"]
["nominee", "president"]	["谁是entity的提名人的总裁？"]
["beforeElection", "almaMater"]	["entity一CLPM任领导人从哪里毕业？"]
["successor", "house"]	["entity的一CLPM代产品有什么样的立法机构？"]
["incumbent", "placeOfBirth"]	["entity的现任出生在哪里？"]
["countryofbirth", "currency"]	["entity的祖国的货币是什么？"]
["youthclubs", "nickname"]	["entity所属青年俱乐部的昵称是什么？"]
["最大城市名稱", "ethnicGroups"]	["entityA最大的城市属于哪个民族？"]
["origin", "largestmetro"]	["entity的发源地最大的地铁在哪里？"]
["origin", "title"]	["什么是entity的发源地的名字？"]
["influences", "placeOfBirth"]	["entity的人出生在哪里？"]
["cityofbirth", "seatType"]	["entity的出生地的行政级别是什么？"]
["cityofbirth", "seat"]	["发现entity的出生地的地方是什么？"]
["langs", "agency"]	["哪个机构entity擅长的语言属于哪个？"]
["areas", "largestmetro"]	["entity最大的地铁在哪里？"]
["演出", "parents"]	["谁养育了出演entity的演员？","谁把出演entity的演员抚养长大？","谁是出演entity的演员的父母？"]
["電視台", "language"]	["播放entity的电视台的语言是什么？"]
["birthplace", "subdivisionName"]	["entityO第一CLPM支登场的球队的细分名称是什么？"]
["所在地區", "candidate"]	["谁是entity的所属区域的候选人？"]
["currentclub", "lcb"]	["谁是entity的着名前球员？"]
["locale", "subdivisionType"]	["entityEV的所属地点的行政级别是什么？"]
["commander", "house"]	["entity的将领有什么样的立法机构？"]
["owner", "list2."]	["谁是1904年entity的总裁最好的右手投手？"]
["languages", "ancestor"]	["entity使用的语言的祖先在哪里？"]
["leader", "father"]	["谁是entity的领导人的父亲？"]
["capital", "governingBody"]	["entity的首都的管理机构是什么？"]
["居住地", "p"]	["如何用汉语拼音拼写entity的居住地？","entity的居住地的中文拼音是什么？"]
["afterElection", "title"]	["什么是entity的胜选者的名字？"]
["subdivisionName", "sign"]	["entity使用什么样的语言？"]
["province", "leaderName"]	["谁是entity的领导者？"]
["owner", "type"]	["哪种类型是entity的总裁？"]
["music", "parents"]	["谁养育了entity的配乐作者？","谁把entity的配乐作者抚养长大？","谁是entity的配乐作者的父母？"]
["archipelago", "timezone"]	["entity的属于哪个时区？"]
["locale", "officialLanguages"]	["entityEV的所属地点的官方语言是什么？"]
["creator", "before"]	["谁是entity的创造者的上一任？"]
["state", "dance"]	["entity所在的州的官方舞蹈是什么？"]
["origin", "governmentType"]	["entity的发源地政府类型是什么？"]
["所在地區", "settlementType"]	["entity的所属区域属于哪个地区？"]
["youthclubs", "stadium"]	["entity所属青年俱乐部在哪里训练？"]
["associatedActs", "origin"]	["entity的相关艺人的起源是什么？"]
["mother", "upperHouse"]	["什么是entity的母亲的上议院？"]
["commander", "currency"]	["entity的将领的货币是什么？"]
["lastAlbum", "format"]	["entity的一CLPM张专辑的格式是什么？"]
["city", "establishedTitle"]	["哪个法律","行为使entity的所在城市成立？"]
["subdivisionName", "establishedTitle"]	["哪个法律","行为使entity成立？"]
["state", "tree"]	["什么树大部分种植在entity所在的州？"]
["predecessor", "label"]	["entity的前代产品的标签是什么？"]
["commonLanguages", "agency"]	["哪个机构entity的通用语言属于哪个？"]
["after", "starring"]	["谁主演entity的？"]
["cityofbirth", "dialects"]	["entity的出生地的方言是什么？"]
["教育程度", "language"]	["entity的毕业学校的语言是什么？"]
["youthclubs", "club"]	["哪个俱乐部属于entity所属青年俱乐部？"]
["genre", "fam"]	["entity的类型属于哪种语言？"]
["出生地點", "timezone"]	["entity的出生地点属于哪个时区？"]
["cityofbirth", "timezone1Dst"]	["entity的出生地属于哪个时区？"]
["subdivisionName", "grass"]	["什么样的草原产于entity？"]
["currentclub", "northwest"]	["哪个地方位于entity的西北部？"]
["currentclub", "northeast"]	["位于entity东北的地方是什么？"]
["出生地點", "leaderTitle"]	["entity的出生地点在哪里作为leaderTitle？"]
["vicepresident", "almaMater"]	["entity的副总统从哪里毕业？"]
["subdivisionName", "group"]	["entity属于哪个组？"]
["cityofbirth", "location"]	["entity的出生地在哪里？"]
["place", "establishedEvent"]	["什么时候entity的地址创建既定事件？"]
["league", "chairman"]	["谁是entity的主席？"]
["district", "northeast"]	["位于entity所在的区域东北的地方是什么？"]
["products", "label"]	["entity的产品的标签是什么？"]
["channel", "industry"]	["entity的电视台所属的产业类型是什么？"]
["主唱", "spouse"]	["谁是entity的主唱的配偶？"]
["主唱", "placeOfBirth"]	["entity的主唱出生在哪里？"]
["capital", "seat"]	["发现entity的首都的地方是什么？"]
["教育程度", "ground"]	["entity的毕业学校的主场在哪里？"]
["province", "areaCodeType"]	["entity有哪些类型的区号？"]
["popplace", "religion"]	["entity的主要分布区域的宗教是什么？"]
["popplace", "callingCode"]	["什么是entity的主要分布区域中的调用代码？"]
["region", "religion"]	["entity所在的行政区的宗教是什么？"]
["nation", "governmentType"]	["entity所属国家政府类型是什么？"]
["designer", "spouse"]	["谁是entity的设计者的配偶？"]
["predecessor", "placeOfDeath"]	["entity的前代产品死在哪里？","这是entity的前代产品的死亡地点？"]
["cities", "settlementType"]	["entity属于哪个地区？"]
["所屬公司", "predecessorLine"]	["哪一行是AentityEV的所属公司的前身？"]
["president", "as"]	["entity效力的总统相当于什么？"]
["creator", "education"]	["entity的创造者毕业的地方？","entity的创造者从哪个学校毕业？"]
["deathPlace", "north"]	["哪个城市位于entity逝世的地方的北部？"]
["birthPlace", "soil"]	["entity的出生地的州土壤是什么？"]
["basinCountries", "regionalLanguages"]	["哪种语言是entity的沿线国家中的区域语言？"]
["label", "logo"]	["entity的标签的标识是什么？"]
["身份", "before"]	["谁是entity所在的朝代的上一任？"]
["state", "tartan"]	["什么是entity所在的州的官方苏格兰格子呢模式？"]
["consecratedBy", "bishop"]	["谁是entity的的主教？"]
["combatant", "timezoneDst"]	["entity属于哪个时区？"]
["issue", "religion"]	["entity的后裔的宗教是什么？"]
["creator", "almaMater"]	["entity的创造者从哪里毕业？"]
["office", "birthPlace"]	["entity担任的要职出生在哪里？"]
["cityofbirth", "caption"]	["entity的出生地的标识是什么？"]
["所屬公司", "services"]	["什么包含在AentityEV的所属公司的服务中？"]
["primeminister", "alongside"]	["谁像entity的首相一样出名？","谁与entity的首相同样出名？"]
["primeminister", "education"]	["entity的首相毕业的地方？","entity的首相从哪个学校毕业？"]
["affiliation", "affiliations"]	["entity的隶属机构隶属于什么机构？"]
["headquarters", "southeast"]	["哪个城市位于entity的总部地址的东南部？"]
["birthPlace", "event"]	["哪个文件","事件影响了entity的出生地的灭绝并在欧洲结束了第二次世界大战？"]
["areas", "upperhouse"]	["我们用什么名字来称呼entity的上院？"]
