["genre", "subgenres"]	["entity的子类是什么？"]
["primeminister", "predecessor"]	["entity的总理的前身是什么？"]
["placeOfDeath", "官方語言"]	["entity的死亡地点的官方语言是什么？","在entity的死亡地点人们用什么语言交流？","entity的死亡地点人的交流语言是什么？","entity的死亡地点人说什么语言？"]
["origin", "governmentType"]	["entity的市政管理组织模式是什么？","市政管理在entity是如何组织的？"]
["origin", "貨幣代碼"]	["entity的货币代码是什么?",""]
["basinCountries", "立國事件"]	["entity盆地的立国事件是什么？","什么事件标志着entity盆地成立？"]
["locale", "governmentType"]	["entity的市政管理组织模式是什么？","市政管理在entity是如何组织的？"]
["west", "subdivisionName"]	["entityITY属于哪个国家？","entityITY位于哪个国家？"]
["moreUsers", "aircraftTrainer"]	["entity的用户的飞行练习器是什么？","哪些飞行练习器被entity的用户使用？"]
["langs", "states"]	["使用entity说的语言的地区有哪些？","哪里使用entity说的语言语言？"]
["residence", "貨幣單位"]	["entity的住所的货币单位是什么？","entity的住所使用什么货币？","哪种货币在entity的住所流通？"]
["officiallyOpenedBy", "as"]	["开了entity是谁？","开了entity的职务是什么？","开了entity的身份是什么？"]
["deathPlace", "主要節日"]	["entity的死亡地点的主要节日是什么？","什么节日是entity的死亡地点的主要节日？"]
["producer", "occupation"]	["entity的生产者的职业是什么？"]
["birthPlace", "最長河流"]	["entity的出生地的最长河流叫什么名字？","哪条河是entity的出生地中最长的河流？"]
["currentclub", "name"]	["entity的繁体形式是什么？","entity的繁体怎么写？"]
["deathPlace", "postalCodeType"]	["entity的死亡地点的邮政编码是什么？"]
["episodeList", "directedby"]	["entity所在的剧集列表的导演是谁？","entity所在的剧集列表是被谁执导？","谁导演的entity所在的剧集列表？","entity所在的剧集列表导演的名字是什么？"]
["almaMater", "city"]	["entity的母校的城市有哪个？","举出一个entity的母校中的城市？"]
["locationCity", "subdivisionType"]	["entity所在的城市的划分种类是什么？"]
["location", "最大行政區名稱"]	["entity的最大行政区名称是什么？"]
["nationalteam", "captain"]	["entity的国家队的首都是什么？","哪里是entity的国家队的首都？","entity的国家队的首都位于哪里？"]
["writer", "notableInstruments"]	["entity的作家的成名乐器是什么？","entity的作家以什么乐器著名？"]
["nationality", "東"]	["entity的国籍东部的海洋是什么？","什么海位于entity的国籍东部？"]
["areaServed", "governor"]	["entity服务的区域的省长是谁？","谁是entity服务的区域的总督？"]
["birthPlace", "region"]	["entity的出生地所在区域是哪里？",""]
["birthPlace", "貨幣單位"]	["entity的出生地的货币单位是什么？","entity的出生地使用什么货币？","哪种货币在entity的出生地流通？"]
["draftTeam", "division"]	["entity的选秀团队属于哪个赛区？","entity的选秀团队在哪个区域比赛？"]
["placeOfBirth", "era"]	["entity的出生地时代发生了什么战争？","什么战争发生在entity的出生地时代？"]
["employer", "founder"]	["entity的创办者是谁？","谁创立了entity？","entity由谁建立？"]
["platforms", "ui"]	["entity所处的平台的ui是什么？"]
["title", "location"]	["entity的标题位于哪里？entity的标题的位置是什么？"]
["state", "type"]	["entity所属的州的职业是什么？"]
["platforms", "developer"]	["entity所处的平台的创立者是谁？","是谁成立了entity所处的平台？","entity所处的平台是被谁建立的？"]
["platforms", "predecessor"]	["entity所处的平台的前身是什么？"]
["origin", "最大城市名稱"]	["entity的最大的城市的名称是什么？","哪座城市是entity中最大的城市？"]
["placeOfDeath", "event"]	["entity的死亡地点期间发生的事件有什么？","什么事件在entity的死亡地点期间发生？"]
["teaOrigin", "政治体制"]	["茶叶entity的政治体制是什么？","茶叶entity采用什么政治体制？"]
["workplaces", "battles"]	["entity的工作地点参加了什么战争？","哪个战争中有entity的工作地点参战？"]
["workplaces", "identificationSymbol"]	["entity的工作地点的标志符号是多少？"]
["country", "officialLanguages"]	["entity的官方语言是什么？","在entity人们用什么语言交流？","entity人的交流语言是什么？","entity人说什么语言？"]
["before", "after"]	["entity的下一位是什么？"]
["artist", "notableInstruments"]	["entity的艺术家的成名乐器是什么？","entity的艺术家以什么乐器著名？"]
["province", "officiallang"]	["entity所在的省份的官方语言是什么？"]
["assembly", "主要節日"]	["entity的装配的主要节日是什么？","什么节日是entity的装配的主要节日？"]
["regionServed", "postalcodeprefix"]	["entity服务的地区的邮政编码前缀是什么？"]
["regionServed", "legislature"]	["entity服务的地区的立法机构是什么？"]
["distributor", "type"]	["entity的经销商的职业是什么？"]
["developer", "keyPeople"]	["entity的开发者的最重要的职务是什么？","entity的开发者中最高职位是什么？"]
["draftTeam", "city"]	["entity的选秀团队的城市有哪个？","举出一个entity的选秀团队中的城市？"]
["subdivisionName", "立國事件"]	["entity的立国事件是什么？","什么事件标志着entity成立？"]
["finalteam", "before"]	["entity所在的最终团队的上一位是什么？"]
["publisher", "services"]	["entity的出版商提供的服务是什么？","entity的出版商可以提供什么服务？","entity的出版商是做什么的？","可以从entity的出版商获取什么服务？"]
["placeOfBirth", "主要宗教"]	["entity的出生地的主要宗教是什么？","什么宗教在entity的出生地属于主流？"]
["subdivisionName", "language"]	["entity的交流语言是什么？","entity使用什么语言交流？","什么语言被entity所使用？"]
["placeOfDeath", "type"]	["entity的死亡地点的职业是什么？"]
["managerclubs", "city"]	["entity管理的俱乐部的城市有哪个？","举出一个entity管理的俱乐部中的城市？"]
["citizenship", "官方文字"]	["entity的公民身份的官方文字是什么？","在entity的公民身份人们用什么语言交流？","entity的公民身份人的交流语言是什么？","entity的公民身份人说什么语言？"]
["citizenship", "曆法"]	["entity的公民身份的历法是什么？","entity的公民身份地区采用什么历法？"]
["citizenship", "立國日期"]	["entity的公民身份的建国日期是什么？"]
["placeOfDeath", "國家政權"]	["entity的死亡地点的国家政权是什么结构？"]
["managerclubs", "captain"]	["entity管理的俱乐部的首都是什么？","哪里是entity管理的俱乐部的首都？","entity管理的俱乐部的首都位于哪里？"]
["candidate", "successor"]	["entity的候选人的后继是什么？"]
["locationCity", "legislature"]	["entity所在的城市的立法机构是什么？"]
["author", "influenced"]	["entity的作者受影响于什么？","entity的作者受到什么的影响？"]
["designer", "commander"]	["entity的设计师的指挥官是谁？","entity的设计师受谁的指挥？","谁指挥entity的设计师？"]
["clubs", "manager"]	["entity所在的俱乐部的经理是谁？","谁是entity所在的俱乐部的经理？","谁经营管理entity所在的俱乐部？"]
["states", "官方語言"]	["entity所在的州的官方语言是什么？","在entity所在的州人们用什么语言交流？","entity所在的州人的交流语言是什么？","entity所在的州人说什么语言？"]
["owner", "nickname"]	["entity的所有者的绰号叫什么？","entity的所有者又被称为什么？","entity的所有者的另外的名字是什么？"]
["predecessor", "office"]	["entity的前身的官职是什么？","entity的前身的职位是什么？"]
["deathPlace", "民族"]	["entity的死亡地点的民族有哪些？","entity的死亡地点包含哪些民族？"]
["primeminister", "successor"]	["entity的总理的后继是什么？"]
["predecessor", "awards"]	["entity的前身获得奖项有什么？","entity的前身被评选为什么奖？","什么奖项曾颁发给entity的前身？"]
["placeOfDeath", "國家首都名稱"]	["entity的死亡地点的首都是什么？","哪里是entity的死亡地点的首都？"]
["shortDescription", "國家政權"]	["entity的简短描述的国家政权是什么结构？"]
["league", "ceo"]	["entity的联盟的Centity的联盟O是谁？","entity的联盟的首席执行官是谁？","谁是entity的联盟的Centity的联盟O?"]
["birthPlace", "西南"]	["entity的出生地西南部的海洋是什么？","什么海位于entity的出生地西南部？"]
["deathPlace", "官方文字"]	["entity的死亡地点的官方文字是什么？","在entity的死亡地点人们用什么语言交流？","entity的死亡地点人的交流语言是什么？","entity的死亡地点人说什么语言？"]
["billed", "subdivisionType"]	["entity的划分种类是什么？"]
["placeOfDeath", "中央銀行"]	["entity的死亡地点的中央银行是什么？","什么是entity的死亡地点的中央银行？"]
["team", "generalManager"]	["entity所在的团队的总经理是谁？","谁是entity所在的团队的总经理？","entity所在的团队的总经理叫什么名字？"]
["distributor", "keyPeople"]	["entity的经销商的最重要的职务是什么？","entity的经销商中最高职位是什么？"]
["familia", "subdivisionRanks"]	["entity的家庭的分类等级是什么？","entity的家庭在分类中处于什么等级？"]
["team", "conference"]	["entity所在的团队属于哪个联盟？","entity所在的团队在哪个联盟中？"]
["nationality", "政治制度二"]	["entity的国籍的国家政权是什么结构？"]
["nationality", "西"]	["entity的国籍西部的海洋是什么？","什么海位于entity的国籍西部？"]
["placeOfDeath", "populationRank"]	["entity的死亡地点的人口排名是多少？","entity的死亡地点的人口排在多少名？"]
["creator", "almaMater"]	["entity的创造者的母校是哪？","哪个学校是entity的创造者的母校？"]
["influenced", "influenced"]	["entity影响的人受影响于什么？","entity影响的人受到什么的影响？"]
["place", "曆法"]	["entity发生的地方的历法是什么？","entity发生的地方地区采用什么历法？"]
["genusAuthority", "fields"]	["entity属名的创造者的研究领域是什么？","entity属名的创造者致力于哪个领域的研究？"]
["birthPlace", "religion"]	["entity的出生地的宗教信仰是什么？","entity的出生地信仰什么教？"]
["album", "genre"]	["entity的专辑的演唱类型是什么?","entity的专辑演唱什么类型的音乐？"]
["clubs", "city"]	["entity所在的俱乐部的城市有哪个？","举出一个entity所在的俱乐部中的城市？"]
["country", "國花"]	["entity的国花是什么？","哪种花是entity的国花？"]
["stadium", "after"]	["entity发生的体育场的下一位是什么？"]
["education", "president"]	["entity参加的大学的校长是谁？","谁是entity参加的大学的校长？"]
["developer", "products"]	["entity的开发者的产品都有什么？"]
["shortDescription", "主要節日"]	["entity的简短描述的主要节日是什么？","什么节日是entity的简短描述的主要节日？"]
["location", "國家憲法"]	["entity的国家宪法叫什么？","哪部法律是entity的国家宪法？"]
["team", "league"]	["entity所在的团队参与的联赛叫什么名字？","entity所在的团队在哪个联赛中参加比赛？"]
["locale", "南"]	["entity南部水域是什么？","哪个水域位于entity南部？"]
["birthPlace", "最大行政區名稱"]	["entity的出生地的最大行政区名称是什么？"]
["team", "division"]	["entity所在的团队属于哪个赛区？","entity所在的团队在哪个区域比赛？"]
["regionServed", "曆法"]	["entity服务的地区的历法是什么？","entity服务的地区地区采用什么历法？"]
["signedpresident", "party"]	["entity签署的总统属于什么党派？","entity签署的总统加入了哪个党派？"]
["placeOfDeath", "西南"]	["entity的死亡地点西南部的海洋是什么？","什么海位于entity的死亡地点西南部？"]
["almaMater", "president"]	["entity的母校的校长是谁？","谁是entity的母校的校长？"]
["origin", "國家首都名稱"]	["entity的首都是什么？","哪里是entity的首都？"]
["origin", "animal"]	["entity有什么动物？","什么动物生活在entity？"]
["based", "leaderName"]	["entity的领导者是谁？","entity的市长的名字是什么？","谁是entity的市长？"]
["based", "subdivisionName"]	["entity属于哪个国家？","entity位于哪个国家？"]
["primaryUser", "aircraftRecon"]	["entity的主要用户的侦察机有什么？","哪些是entity的主要用户的侦察机？"]
["college", "city"]	["entity的城市有哪个？","举出一个entity中的城市？"]
["placeOfBirth", "政治体制"]	["entity的出生地的政治体制是什么？","entity的出生地采用什么政治体制？"]
["state", "lieutenantGovernor"]	["entity所属的州的副州长是谁？","谁是entity所属的州的副州长？"]
["deathPlace", "type"]	["entity的死亡地点的职业是什么？"]
["artist", "職業"]	["entity的艺术家的职业是什么？","entity的艺术家是做什么的？"]
["college", "athletics"]	["entity中的运动有什么？","什么比赛有entity的参加？"]
["origin", "國家憲法"]	["entity的国家宪法叫什么？","哪部法律是entity的国家宪法？"]
["city", "capital"]	["entity所在的城市的省会是哪里？","entity所在的城市的省会叫什么？","哪里是entity所在的城市的省会？"]
